chr,start,end,n_hom
1,55299,61987,2
1,61987,841166,38
1,841166,852047,9
1,852047,861387,5
1,861387,881317,12
1,881317,886546,4
1,886546,888410,2
1,888410,901834,17
1,901834,908025,2
1,908025,916010,12
1,916010,928131,35
1,928131,940256,24
1,940256,940820,2
1,940820,948519,9
1,948519,949169,1
1,949169,949387,1
1,949387,964918,47
1,964918,969750,11
1,969750,971790,2
1,971790,975014,2
1,975014,976669,3
1,976669,978953,1
1,978953,979560,1
1,979560,981169,1
1,981169,982260,1
1,982260,986280,3
1,986280,988731,5
1,988731,989068,1
1,989068,992361,9
1,992361,993036,1
1,993036,994321,9
1,994321,995786,2
1,995786,996168,1
1,996168,997077,1
1,997077,998410,1
1,998410,998741,2
1,998741,999842,1
1,999842,1000335,2
1,1000335,1000731,1
1,1000731,1002192,2
1,1002192,1002745,2
1,1002745,1004111,1
1,1004111,1008307,1
1,1008307,1008588,1
1,1008588,1014228,13
1,1014228,1014733,2
1,1014733,1016184,1
1,1016184,1029629,2
1,1029629,1047133,1
1,1047133,1055137,1
1,1055137,1062389,1
1,1062389,1065797,1
1,1065797,1079456,2
1,1079456,1081790,1
1,1081790,1089890,1
1,1089890,1091327,1
1,1091327,1101437,1
1,1101437,1127861,1
1,1127861,1150189,26
1,1150189,1169858,32
1,1169858,1236037,3
1,1236037,1302449,2
1,1302449,1312209,13
1,1312209,1314109,1
1,1314109,1340697,31
1,1340697,1354896,27
1,1354896,1355780,1
1,1355780,1362103,18
1,1362103,1379091,47
1,1379091,1398056,20
1,1398056,1437955,3
1,1437955,1487901,1
1,1487901,1522693,1
1,1522693,1559703,1
1,1559703,1561628,1
1,1561628,1571434,1
1,1571434,1589057,14
1,1589057,1589418,1
1,1589418,1591703,2
1,1591703,1593620,1
1,1593620,1594077,1
1,1594077,1594614,1
1,1594614,1595649,2
1,1595649,1596899,1
1,1596899,1597462,1
1,1597462,1605347,1
1,1605347,1608244,1
1,1608244,1613090,2
1,1613090,1613330,1
1,1613330,1613769,1
1,1613769,1614340,1
1,1614340,1616048,3
1,1616048,1618118,2
1,1618118,1620609,4
1,1620609,1624086,1
1,1624086,1624720,1
1,1624720,1630798,1
1,1630798,1645374,2
1,1645374,1650086,4
1,1650086,1654012,2
1,1654012,1657220,1
1,1657220,1668542,4
1,1668542,1671797,1
1,1671797,1674868,1
1,1674868,1687643,1
1,1687643,1715745,1
1,1715745,1716489,6
1,1716489,1717376,7
1,1717376,1717953,2
1,1717953,1718638,7
1,1718638,1720192,8
1,1720192,1724489,15
1,1724489,1726126,1
1,1726126,1727506,2
1,1727506,1730876,3
1,1730876,1731380,2
1,1731380,1734736,9
1,1734736,1738405,9
1,1738405,1743556,6
1,1743556,1743568,1
1,1743568,1756352,6
1,1756352,1760325,6
1,1760325,1762812,2
1,1762812,1771973,10
1,1771973,1795442,18
1,1795442,1817973,12
1,1817973,1820247,1
1,1820247,1840232,18
1,1840232,1849992,15
1,1849992,1864314,9
1,1864314,1897682,32
1,1897682,1911352,13
1,1911352,1921849,8
1,1921849,1924108,3
1,1924108,1924208,1
1,1924208,1937046,10
1,1937046,1947645,13
1,1947645,1949111,2
1,1949111,1960609,25
1,1960609,1962845,2
1,1962845,1979639,1
1,1979639,1986469,1
1,1986469,1991690,1
1,1991690,1991835,1
1,1991835,1992226,2
1,1992226,1994282,2
1,1994282,2002677,1
1,2002677,2006596,1
1,2006596,2007895,1
1,2007895,2011271,6
1,2011271,2052788,38
1,2052788,2066032,4
1,2066032,2078112,3
1,2078112,2094168,2
1,2094168,2098075,1
1,2098075,2106603,6
1,2106603,2112675,20
1,2112675,2124375,19
1,2124375,2135551,14
1,2135551,2137585,2
1,2137585,2147365,5
1,2147365,2189022,1
1,2189022,2209428,1
1,2209428,2245578,1
1,2245578,2273351,1
1,2273351,2295716,20
1,2295716,2295983,1
1,2295983,2298478,2
1,2298478,2303464,2
1,2303464,2308944,4
1,2308944,2313466,2
1,2313466,2317185,11
1,2317185,2320383,1
1,2320383,2324572,1
1,2324572,2324851,1
1,2324851,2325032,1
1,2325032,2326492,2
1,2326492,2327507,3
1,2327507,2333780,1
1,2333780,2335494,2
1,2335494,2337229,2
1,2337229,2337299,1
1,2337299,2340787,1
1,2340787,2341705,1
1,2341705,2342999,2
1,2342999,2344583,2
1,2344583,2346676,1
1,2346676,2347542,1
1,2347542,2349222,1
1,2349222,2352403,1
1,2352403,2352756,1
1,2352756,2356095,3
1,2356095,2359472,2
1,2359472,2360716,1
1,2360716,2362718,1
1,2362718,2363813,1
1,2363813,2363829,2
1,2363829,2366496,1
1,2366496,2367799,1
1,2367799,2368473,1
1,2368473,2397974,2
1,2397974,2398563,1
1,2398563,2401202,1
1,2401202,2402822,3
1,2402822,2405838,1
1,2405838,2406121,1
1,2406121,2407440,1
1,2407440,2407700,2
1,2407700,2413252,1
1,2413252,2415084,1
1,2415084,2416601,1
1,2416601,2423961,1
1,2423961,2426634,1
1,2426634,2441744,1
1,2441744,2461268,1
1,2461268,2472415,1
1,2472415,2493455,1
1,2493455,2534986,1
1,2534986,2539236,1
1,2539236,2589991,1
1,2589991,2608912,22
1,2608912,2620346,1
1,2620346,2630586,11
1,2630586,2633366,4
1,2633366,2636986,1
1,2636986,2642464,4
1,2642464,2646781,2
1,2646781,2752061,1
1,2752061,2756585,1
1,2756585,2778780,1
1,2778780,2798922,1
1,2798922,2808910,1
1,2808910,2821700,2
1,2821700,2827851,1
1,2827851,2829318,1
1,2829318,2837623,1
1,2837623,2839723,1
1,2839723,2847758,1
1,2847758,2848348,1
1,2848348,2853368,4
1,2853368,2854761,1
1,2854761,2857488,1
1,2857488,2860477,1
1,2860477,2863327,1
1,2863327,2864430,1
1,2864430,2872928,10
1,2872928,2875388,4
1,2875388,2881291,4
1,2881291,2882915,2
1,2882915,2883789,2
1,2883789,2885487,3
1,2885487,2885783,1
1,2885783,2887241,1
1,2887241,2895679,1
1,2895679,2900016,1
1,2900016,2919344,1
1,2919344,2961801,4
1,2961801,2969901,2
1,2969901,2980529,29
1,2980529,2981015,1
1,2981015,2981659,1
1,2981659,2986000,1
1,2986000,2986595,1
1,2986595,3020182,1
1,3020182,3036050,1
1,3036050,3042638,1
1,3042638,3046929,1
1,3046929,3058555,1
1,3058555,3061479,1
1,3061479,3077243,1
1,3077243,3079632,1
1,3079632,3082370,1
1,3082370,3085139,1
1,3085139,3088521,5
1,3088521,3089751,1
1,3089751,3092322,3
1,3092322,3106151,1
1,3106151,3107141,1
1,3107141,3108141,3
1,3108141,3109536,1
1,3109536,3111341,1
1,3111341,3112517,1
1,3112517,3114264,1
1,3114264,3114558,1
1,3114558,3119198,1
1,3119198,3122584,3
1,3122584,3125817,2
1,3125817,3128088,1
1,3128088,3129865,5
1,3129865,3130147,1
1,3130147,3130883,3
1,3130883,3132178,1
1,3132178,3139658,2
1,3139658,3141097,1
1,3141097,3152352,1
1,3152352,3176147,5
1,3176147,3180547,3
1,3180547,3181100,2
1,3181100,3194171,27
1,3194171,3201289,1
1,3201289,3212881,2
1,3212881,3219273,1
1,3219273,3233583,2
1,3233583,3248553,1
1,3248553,3251610,1
1,3251610,3251898,2
1,3251898,3256487,1
1,3256487,3258807,2
1,3258807,3275962,1
1,3275962,3280591,2
1,3280591,3285627,1
1,3285627,3293763,4
1,3293763,3294681,1
1,3294681,3295189,2
1,3295189,3298411,9
1,3298411,3298630,1
1,3298630,3300502,2
1,3300502,3301346,2
1,3301346,3304874,8
1,3304874,3306666,2
1,3306666,3309975,8
1,3309975,3325265,1
1,3325265,3357552,3
1,3357552,3358585,1
1,3358585,3360512,2
1,3360512,3361966,1
1,3361966,3374825,15
1,3374825,3377658,1
1,3377658,3380134,1
1,3380134,3380717,1
1,3380717,3383837,1
1,3383837,3386167,2
1,3386167,3387203,3
1,3387203,3388452,1
1,3388452,3388902,1
1,3388902,3392393,4
1,3392393,3394697,2
1,3394697,3396103,2
1,3396103,3398032,1
1,3398032,3401882,1
1,3401882,3402150,1
1,3402150,3402278,2
1,3402278,3403068,1
1,3403068,3403213,2
1,3403213,3403912,4
1,3403912,3406913,1
1,3406913,3408696,2
1,3408696,3408930,1
1,3408930,3409104,2
1,3409104,3409756,1
1,3409756,3410232,1
1,3410232,3411059,2
1,3411059,3412095,1
1,3412095,3414320,1
1,3414320,3416119,1
1,3416119,3416677,1
1,3416677,3421057,4
1,3421057,3425545,7
1,3425545,3435664,1
1,3435664,3435977,2
1,3435977,3436301,3
1,3436301,3438698,4
1,3438698,3440069,1
1,3440069,3440451,2
1,3440451,3441472,1
1,3441472,3442368,3
1,3442368,3442718,1
1,3442718,3445244,2
1,3445244,3447362,1
1,3447362,3448405,1
1,3448405,3448689,1
1,3448689,3451471,1
1,3451471,3466474,2
1,3466474,3471096,1
1,3471096,3474458,1
1,3474458,3478076,1
